"iso","country","region"
"AFG","Afghanistan","Southern Asia"
"ALB","Albania","Southern Europe"
"DZA","Algeria","Northern Africa"
"ASM","American Samoa","Polynesia Oceania"
"AND","Andorra","Southern Europe"
"AGO","Angola","Middle Africa"
"AIA","Anguilla","Caribbean America"
"ATG","Antigua and Barbuda","Caribbean America"
"ARG","Argentina","South America"
"ARM","Armenia","Western Asia"
"ABW","Aruba","Caribbean America"
"AUS","Australia","Oceania"
"AUT","Austria","Western Europe"
"AZE","Azerbaijan","Western Asia"
"BHS","Bahamas","Caribbean America"
"BHR","Bahrain","Western Asia"
"BGD","Bangladesh","Southern Asia"
"BRB","Barbados","Caribbean America"
"BLR","Belarus","Eastern Europe"
"BEL","Belgium","Western Europe"
"BLZ","Belize","Central America"
"BEN","Benin","Western Africa"
"BMU","Bermuda","Northen America"
"BTN","Bhutan","Southern Asia"
"BOL","Bolivia (Plurinational State of)","South America"
"BES","Bonaire, Sint Eustatius and Saba","Caribbean America"
"BIH","Bosnia and Herzegovina","Southern Europe"
"BWA","Botswana","Southern Africa"
"BRA","Brazil","South America"
"VGB","British Virgin Islands","Caribbean America"
"BRN","Brunei Darussalam","South-Eastern Asia"
"BGR","Bulgaria","Eastern Europe"
"BFA","Burkina Faso","Western Africa"
"BDI","Burundi","Eastern Africa"
"CPV","Cabo Verde","Western Africa"
"KHM","Cambodia","South-Eastern Asia"
"CMR","Cameroon","Middle Africa"
"CAN","Canada","Northen America"
"CYM","Cayman Islands","Caribbean America"
"CAF","Central African Republic","Middle Africa"
"TCD","Chad","Middle Africa"
"CHL","Chile","South America"
"CHN","China","Eastern Asia"
"HKG","China, Hong Kong SAR","Eastern Asia"
"MAC","China, Macao SAR","Eastern Asia"
"TWN","China, Taiwan Province of China","Eastern Asia"
"COL","Colombia","South America"
"COM","Comoros","Eastern Africa"
"COG","Congo","Middle Africa"
"COK","Cook Islands","Polynesia Oceania"
"CRI","Costa Rica","Central America"
"CIV","Cote d'Ivoire","Western Africa"
"HRV","Croatia","Southern Europe"
"CUB","Cuba","Caribbean America"
"CUW","Curacao","Caribbean America"
"CYP","Cyprus","Western Asia"
"CZE","Czechia","Eastern Europe"
"PRK","Dem. People's Republic of Korea","Eastern Asia"
"COD","Democratic Republic of the Congo","Middle Africa"
"DNK","Denmark","Northern Europe"
"DJI","Djibouti","Eastern Africa"
"DMA","Dominica","Caribbean America"
"DOM","Dominican Republic","Caribbean America"
"ECU","Ecuador","South America"
"EGY","Egypt","Northern Africa"
"SLV","El Salvador","Central America"
"GNQ","Equatorial Guinea","Middle Africa"
"ERI","Eritrea","Eastern Africa"
"EST","Estonia","Northern Europe"
"SWZ","Eswatini","Southern Africa"
"ETH","Ethiopia","Eastern Africa"
"FLK","Falkland Islands (Malvinas)","South America"
"FRO","Faroe Islands","Northern Europe"
"FJI","Fiji","Melanesia Oceania"
"FIN","Finland","Northern Europe"
"FRA","France","Western Europe"
"GUF","French Guiana","South America"
"PYF","French Polynesia","Polynesia Oceania"
"GAB","Gabon","Middle Africa"
"GMB","Gambia","Western Africa"
"GEO","Georgia","Western Asia"
"DEU","Germany","Western Europe"
"GHA","Ghana","Western Africa"
"GIB","Gibraltar","Southern Europe"
"GRC","Greece","Southern Europe"
"GRL","Greenland","Northen America"
"GRD","Grenada","Caribbean America"
"GLP","Guadeloupe","Caribbean America"
"GUM","Guam","Micronesia Oceania"
"GTM","Guatemala","Central America"
"GIN","Guinea","Western Africa"
"GNB","Guinea-Bissau","Western Africa"
"GUY","Guyana","South America"
"HTI","Haiti","Caribbean America"
"VAT","Holy See","Southern Europe"
"HND","Honduras","Central America"
"HUN","Hungary","Eastern Europe"
"ISL","Iceland","Northern Europe"
"IND","India","Southern Asia"
"IDN","Indonesia","South-Eastern Asia"
"IRN","Iran (Islamic Republic of)","Southern Asia"
